variant,baseline,param_type,n_expected,n_filled,param_coverage,type_match,exact5_on_hits,exact20_on_hits,n_queries
noisy,bge_m3,currency,196,135,0.6887755102040817,0.1259259259259259,0.0,0.0,331
noisy,bge_m3,float,1265,1073,0.8482213438735178,0.1267474370922647,0.03205128205128205,0.04487179487179487,331
noisy,bge_m3,integer,207,160,0.7729468599033816,0.26875,0.55,0.55,331
noisy,bge_m3,percent,179,159,0.888268156424581,0.0880503144654088,0.46153846153846156,0.46153846153846156,331
orig,bge_m3,currency,196,176,0.8979591836734694,0.9886363636363636,0.29069767441860467,0.3488372093023256,331
orig,bge_m3,float,1265,1199,0.9478260869565217,0.9791492910758965,0.17073170731707318,0.216148023549201,331
orig,bge_m3,integer,207,170,0.821256038647343,1.0,0.1144578313253012,0.1144578313253012,331
orig,bge_m3,percent,179,175,0.9776536312849162,0.6228571428571429,0.5714285714285714,0.6,331
orig,oracle,currency,196,177,0.9030612244897959,0.9830508474576272,0.288135593220339,0.3615819209039548,331
orig,oracle,float,1265,1208,0.9549407114624506,0.9809602649006622,0.1870860927152318,0.21771523178807947,331
orig,oracle,integer,207,192,0.927536231884058,0.9895833333333334,0.06770833333333333,0.078125,331
orig,oracle,percent,179,176,0.9832402234636871,0.625,0.6079545454545454,0.6193181818181818,331
orig,tfidf,currency,196,164,0.8367346938775511,0.9939024390243902,0.34782608695652173,0.37888198757763975,331
orig,tfidf,float,1265,1141,0.9019762845849802,0.9807186678352322,0.18633540372670807,0.22005323868677906,331
orig,tfidf,integer,207,168,0.8115942028985508,0.9940476190476191,0.09146341463414634,0.0975609756097561,331
orig,tfidf,percent,179,168,0.9385474860335196,0.6011904761904762,0.5416666666666666,0.5714285714285714,331
short,bge_m3,currency,196,10,0.05102040816326531,1.0,0.5,0.5,331
short,bge_m3,float,1265,94,0.07430830039525692,0.9680851063829787,0.043010752688172046,0.043010752688172046,331
short,bge_m3,integer,207,36,0.17391304347826086,0.9722222222222222,0.6666666666666666,0.6666666666666666,331
short,bge_m3,percent,179,10,0.055865921787709494,0.0,0.0,0.1,331
