variant,baseline,schema_R1,param_coverage,type_match,exact5_on_hits,exact20_on_hits,param_coverage_hits,param_coverage_miss,type_match_hits,type_match_miss,key_overlap,key_overlap_hits,key_overlap_miss,instantiation_ready,n
noisy,oracle,1.0,0.8196153731741083,0.07034239677744211,0.17785888077858877,0.17968369829683695,0.8196153731741083,,0.07034239677744211,,0.9952524816573155,0.9952524816573155,,0.021148036253776436,331
noisy,tfidf,0.9033232628398792,0.7693285231049588,0.05825780463242698,0.17805555555555552,0.18013888888888888,0.8155721554550993,0.3372395833333333,0.05780379041248606,0.0625,0.9200507448241587,0.9947443860487339,0.22213203463203465,0.021148036253776436,331
noisy,tfidf_hierarchical_acceptance_rerank,0.8187311178247734,0.6956065166790248,0.06467774420946627,0.21183800623052956,0.21183800623052956,0.8090249336559308,0.18333333333333332,0.06977244772447726,0.041666666666666664,0.8347000431592578,0.9942013705851345,0.1142857142857143,0.02416918429003021,331
noisy,tfidf_optimization_role_repair,0.9033232628398792,0.7102866586250277,0.0,,,0.7598268138401923,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203465,0.0,331
orig,oracle,1.0,0.9151052963386356,0.2885444867317984,0.16464060245310255,0.18821338383838396,0.9151052963386356,,0.2885444867317984,,0.9952524816573155,0.9952524816573155,,0.07854984894259819,331
orig,tfidf,0.9093655589123867,0.8639432403782857,0.2595065894159553,0.17444114686382736,0.19907444598166257,0.9168279487216365,0.3333333333333333,0.2729679327685976,0.12444444444444444,0.9217810386994677,0.994779307071666,0.18936507936507938,0.06948640483383686,331
orig,tfidf_hierarchical_acceptance_rerank,0.8459214501510574,0.8120883731910924,0.25930038407379824,0.17608531280118006,0.20033279553574768,0.9207187554508985,0.21568627450980393,0.2860539064110496,0.11241830065359477,0.8576583704982498,0.9964285714285714,0.09578275754746343,0.07854984894259819,331
orig,tfidf_optimization_role_repair,0.9093655589123867,0.8248228609255805,0.2715936882855315,0.25439267360320017,0.28474519632414397,0.8821141759679975,0.25,0.2834911765974892,0.1522222222222222,0.9217810386994677,0.994779307071666,0.18936507936507938,0.06646525679758308,331
short,oracle,1.0,0.12584545216054024,0.11329305135951662,0.23170731707317072,0.23170731707317072,0.12584545216054024,,0.11329305135951662,,0.9952524816573155,0.9952524816573155,,0.0030211480362537764,331
short,tfidf,0.7794561933534743,0.10496945001565583,0.0961732124874119,0.23202614379084968,0.23202614379084968,0.1298251471131088,0.017123287671232876,0.11950904392764859,0.0136986301369863,0.7823707511018689,0.9977851605758583,0.021043112139002552,0.006042296072507553,331
short,tfidf_hierarchical_acceptance_rerank,0.7371601208459214,0.10618136479163674,0.11329305135951662,0.2826086956521739,0.2826086956521739,0.1327706219099662,0.031609195402298854,0.1413934426229508,0.034482758620689655,0.7558997397365976,1.0,0.07129671095188336,0.00906344410876133,331
short,tfidf_optimization_role_repair,0.7794561933534743,0.031793986476765936,0.04380664652567976,0.3787878787878788,0.3939393939393939,0.03691399040236249,0.0136986301369863,0.05232558139534884,0.0136986301369863,0.7823707511018689,0.9977851605758583,0.021043112139002552,0.006042296072507553,331
