variant,baseline,param_type,n_expected,n_filled,param_coverage,type_match,exact5_on_hits,exact20_on_hits,n_queries
noisy,oracle,currency,382,293,0.7670157068062827,0.0,0.0,0.0,331
noisy,oracle,float,1151,959,0.8331885317115552,0.0,0.041666666666666664,0.05,331
noisy,oracle,integer,205,176,0.8585365853658536,0.32386363636363635,0.45614035087719296,0.45614035087719296,331
noisy,oracle,percent,109,96,0.8807339449541285,0.0,0.08333333333333333,0.08333333333333333,331
noisy,tfidf,currency,382,274,0.7172774869109948,0.0,0.0,0.0,331
noisy,tfidf,float,1151,906,0.787141615986099,0.0,0.04672897196261682,0.056074766355140186,331
noisy,tfidf,integer,205,149,0.7268292682926829,0.28859060402684567,0.5365853658536586,0.5365853658536586,331
noisy,tfidf,percent,109,93,0.8532110091743119,0.0,0.08333333333333333,0.08333333333333333,331
noisy,tfidf_hierarchical_acceptance_rerank,currency,382,223,0.5837696335078534,0.0,0.0,0.0,331
noisy,tfidf_hierarchical_acceptance_rerank,float,1151,794,0.6898349261511729,0.0,0.03225806451612903,0.03225806451612903,331
noisy,tfidf_hierarchical_acceptance_rerank,integer,205,151,0.7365853658536585,0.31788079470198677,0.5454545454545454,0.5454545454545454,331
noisy,tfidf_hierarchical_acceptance_rerank,percent,109,66,0.6055045871559633,0.0,0.14285714285714285,0.14285714285714285,331
noisy,tfidf_optimization_role_repair,currency,382,269,0.7041884816753927,0.0,,,331
noisy,tfidf_optimization_role_repair,float,1151,825,0.7167680278019114,0.0,,,331
noisy,tfidf_optimization_role_repair,integer,205,147,0.7170731707317073,0.0,,,331
noisy,tfidf_optimization_role_repair,percent,109,90,0.8256880733944955,0.0,,,331
orig,oracle,currency,382,338,0.8848167539267016,0.46745562130177515,0.23668639053254437,0.26627218934911245,331
orig,oracle,float,1151,1065,0.9252823631624674,0.009389671361502348,0.15774647887323945,0.19061032863849764,331
orig,oracle,integer,205,189,0.9219512195121952,0.9894179894179894,0.1164021164021164,0.1164021164021164,331
orig,oracle,percent,109,104,0.9541284403669725,0.49038461538461536,0.41346153846153844,0.4423076923076923,331
orig,tfidf,currency,382,321,0.8403141361256544,0.4672897196261682,0.23417721518987342,0.26582278481012656,331
orig,tfidf,float,1151,1004,0.8722849695916595,0.00796812749003984,0.16330645161290322,0.19657258064516128,331
orig,tfidf,integer,205,164,0.8,0.9878048780487805,0.1375,0.1375,331
orig,tfidf,percent,109,101,0.926605504587156,0.4752475247524752,0.39603960396039606,0.42574257425742573,331
orig,tfidf_hierarchical_acceptance_rerank,currency,382,294,0.7696335078534031,0.4931972789115646,0.2361111111111111,0.2708333333333333,331
orig,tfidf_hierarchical_acceptance_rerank,float,1151,940,0.8166811468288445,0.00851063829787234,0.16774193548387098,0.2010752688172043,331
orig,tfidf_hierarchical_acceptance_rerank,integer,205,163,0.7951219512195122,0.9877300613496932,0.13291139240506328,0.13291139240506328,331
orig,tfidf_hierarchical_acceptance_rerank,percent,109,77,0.7064220183486238,0.5454545454545454,0.45454545454545453,0.45454545454545453,331
orig,tfidf_optimization_role_repair,currency,382,304,0.7958115183246073,0.5756578947368421,0.25752508361204013,0.2976588628762542,331
orig,tfidf_optimization_role_repair,float,1151,964,0.8375325803649001,0.016597510373443983,0.2730125523012552,0.3179916317991632,331
orig,tfidf_optimization_role_repair,integer,205,161,0.7853658536585366,0.9503105590062112,0.22929936305732485,0.22929936305732485,331
orig,tfidf_optimization_role_repair,percent,109,96,0.8807339449541285,0.5,0.4583333333333333,0.53125,331
short,oracle,currency,382,24,0.06282722513089005,0.16666666666666666,0.08333333333333333,0.08333333333333333,331
short,oracle,float,1151,87,0.07558644656820157,0.0,0.05747126436781609,0.05747126436781609,331
short,oracle,integer,205,50,0.24390243902439024,0.94,0.58,0.58,331
short,oracle,percent,109,7,0.06422018348623854,0.0,0.0,0.0,331
short,tfidf,currency,382,20,0.05235602094240838,0.2,0.1,0.1,331
short,tfidf,float,1151,74,0.06429192006950478,0.0,0.0684931506849315,0.0684931506849315,331
short,tfidf,integer,205,41,0.2,0.9512195121951219,0.575,0.575,331
short,tfidf,percent,109,5,0.045871559633027525,0.0,0.0,0.0,331
short,tfidf_hierarchical_acceptance_rerank,currency,382,14,0.03664921465968586,0.2857142857142857,0.14285714285714285,0.14285714285714285,331
short,tfidf_hierarchical_acceptance_rerank,float,1151,62,0.05386620330147698,0.0,0.04918032786885246,0.04918032786885246,331
short,tfidf_hierarchical_acceptance_rerank,integer,205,48,0.23414634146341465,0.9583333333333334,0.6,0.6,331
short,tfidf_hierarchical_acceptance_rerank,percent,109,3,0.027522935779816515,0.0,0.0,0.0,331
short,tfidf_optimization_role_repair,currency,382,6,0.015706806282722512,1.0,0.5,0.6666666666666666,331
short,tfidf_optimization_role_repair,float,1151,20,0.01737619461337967,0.0,0.4,0.4,331
short,tfidf_optimization_role_repair,integer,205,15,0.07317073170731707,0.8666666666666667,0.2857142857142857,0.2857142857142857,331
short,tfidf_optimization_role_repair,percent,109,0,0.0,,,,331
