variant,method,Coverage,TypeMatch,Exact20_on_hits,InstReady,n,elapsed_s,source
orig,tfidf_typed_greedy,0.8639432403782857,0.7513401167479721,0.19907444598166257,0.525679758308157,331,0,measured
orig,bm25_typed_greedy,0.8508515988878528,0.7386225221572656,0.2057040475174279,0.5196374622356495,331,2,measured
orig,lsa_typed_greedy,0.8176189704890613,0.7028147247180484,0.20478836856574092,0.4984894259818731,331,3,measured
orig,oracle_typed_greedy,0.9151052963386356,0.8029867078205453,0.18821338383838396,0.5649546827794562,331,0,measured
orig,tfidf_constrained,0.8112038263850957,0.71134957690849,0.32926825942289883,0.4229607250755287,331,1,measured
orig,tfidf_semantic_ir_repair,0.7817067625224734,0.7548755792713499,0.2843205235310499,0.486404833836858,331,1,measured
orig,tfidf_optimization_role_repair,0.8248228609255805,0.7035700117271118,0.28474519632414397,0.44108761329305135,331,1,measured
orig,tfidf_acceptance_rerank,0.8332364094448688,0.7340308566894673,0.1993887932059976,0.5226586102719033,331,1,measured
orig,tfidf_hierarchical_acceptance_rerank,0.8120883731910924,0.7146451567901722,0.20033279553574768,0.513595166163142,331,1,measured
noisy,tfidf_typed_greedy,0.7693285231049588,0.1414425872885087,0.18013888888888888,0.03927492447129909,331,0,measured
noisy,bm25_typed_greedy,0.761996353763726,0.14086713051969846,0.18165266106442574,0.04229607250755287,331,1,measured
noisy,lsa_typed_greedy,0.760087646492481,0.14153849674997707,0.18165266106442574,0.04229607250755287,331,3,measured
noisy,oracle_typed_greedy,0.8196153731741083,0.15239784552473368,0.17968369829683695,0.04229607250755287,331,0,measured
noisy,tfidf_constrained,0.41404847250768695,0.2334700043159258,0.2593390804597701,0.03625377643504532,331,1,measured
noisy,tfidf_semantic_ir_repair,0.3464710935254743,0.0,,0.0,331,1,measured
noisy,tfidf_optimization_role_repair,0.7102866586250277,0.0,,0.0,331,1,measured
noisy,tfidf_acceptance_rerank,0.731200915566475,0.1399931555520679,0.2005847953216374,0.04229607250755287,331,1,measured
noisy,tfidf_hierarchical_acceptance_rerank,0.6956065166790248,0.13799703988525736,0.21183800623052956,0.04229607250755287,331,1,measured
short,tfidf_typed_greedy,0.10496945001565583,0.22860020140986906,0.23202614379084968,0.015105740181268883,331,0,measured
short,bm25_typed_greedy,0.10622826169742823,0.23011077542799593,0.22977346278317154,0.015105740181268883,331,0,measured
short,lsa_typed_greedy,0.10035380718249032,0.21651560926485394,0.2316666666666667,0.012084592145015106,331,3,measured
short,oracle_typed_greedy,0.12584545216054024,0.270896273917422,0.23170731707317072,0.015105740181268883,331,0,measured
short,tfidf_constrained,0.10496945001565583,0.29154078549848944,0.2777777777777778,0.015105740181268883,331,0,measured
short,tfidf_semantic_ir_repair,0.031793986476765936,0.07854984894259819,0.3333333333333333,0.006042296072507553,331,0,measured
short,tfidf_optimization_role_repair,0.031793986476765936,0.07250755287009064,0.3939393939393939,0.006042296072507553,331,0,measured
short,tfidf_acceptance_rerank,0.11296815805879253,0.2376636455186304,0.265,0.021148036253776436,331,0,measured
short,tfidf_hierarchical_acceptance_rerank,0.10618136479163674,0.22608257804632426,0.2826086956521739,0.021148036253776436,331,0,measured
