method,variant,schema_R1,param_coverage,type_match,exact20_on_hits,instantiation_ready,n
0.0,orig,0.9094,0.8639,0.7513,0.1991,0.5257,331.0
0.0,orig,0.8822,0.8509,0.7386,0.2057,0.5196,331.0
0.0,orig,0.8459,0.8176,0.7028,0.2048,0.4985,331.0
0.0,orig,1.0,0.9151,0.803,0.1882,0.565,331.0
0.0,orig,0.8731,0.8332,0.734,0.1994,0.5227,331.0
0.0,orig,0.8459,0.8121,0.7146,0.2003,0.5136,331.0
0.0,orig,0.9094,0.8248,0.7036,0.2847,0.4411,331.0
0.0,orig,0.9094,0.824,0.6888,0.2662,0.4169,331.0
0.0,orig,0.9094,0.8147,0.6935,0.2731,0.423,331.0
0.0,orig,0.9094,0.8152,0.6964,0.2754,0.432,331.0
0.0,orig,0.9094,0.8219,0.7223,0.2201,0.4985,331.0
0.0,orig,0.9094,0.8224,0.7038,0.2186,0.4683,331.0
0.0,orig,0.9094,0.8204,0.6995,0.2404,0.435,331.0
0.0,orig,0.9094,0.8217,0.6962,0.2717,0.4169,331.0
0.0,orig,0.9094,0.7875,0.7112,0.2786,0.423,331.0
0.0,orig,0.9094,0.7875,0.7112,0.2786,0.423,331.0
0.0,orig,0.9094,0.2207,0.3914,0.3737,0.0272,331.0
0.0,orig,0.9094,0.7994,0.7087,0.2878,0.4199,331.0
0.0,noisy,0.9033,0.7693,0.1414,0.1801,0.0393,331.0
0.0,noisy,0.8912,0.762,0.1409,0.1817,0.0423,331.0
0.0,noisy,0.8882,0.7601,0.1415,0.1817,0.0423,331.0
0.0,noisy,1.0,0.8196,0.1524,0.1797,0.0423,331.0
0.0,noisy,0.864,0.7312,0.14,0.2006,0.0423,331.0
0.0,noisy,0.8187,0.6956,0.138,0.2118,0.0423,331.0
0.0,noisy,0.9033,0.7103,0.0,,0.0,331.0
0.0,noisy,0.9033,0.7103,0.0,,0.0,331.0
0.0,noisy,0.9033,0.697,0.0,,0.0,331.0
0.0,noisy,0.9033,0.6967,0.0,,0.0,331.0
0.0,noisy,0.9033,0.7103,0.0,,0.0,331.0
0.0,noisy,0.9033,0.7073,0.0,,0.0,331.0
0.0,noisy,0.9033,0.7093,0.0,,0.0,331.0
0.0,noisy,0.9033,0.7099,0.0,,0.0,331.0
0.0,noisy,0.9033,0.6801,0.0,,0.0,331.0
0.0,noisy,0.9033,0.6801,0.0,,0.0,331.0
0.0,noisy,0.9033,0.237,0.0,,0.0,331.0
0.0,noisy,0.9033,0.6927,0.0,,0.0,331.0
0.0,short,0.7795,0.105,0.2286,0.232,0.0151,331.0
0.0,short,0.7674,0.1062,0.2301,0.2298,0.0151,331.0
0.0,short,0.7644,0.1004,0.2165,0.2317,0.0121,331.0
0.0,short,1.0,0.1258,0.2709,0.2317,0.0151,331.0
0.0,short,0.7734,0.113,0.2377,0.265,0.0211,331.0
0.0,short,0.7372,0.1062,0.2261,0.2826,0.0211,331.0
0.0,short,0.7795,0.0318,0.0725,0.3939,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3333,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3182,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3182,0.006,331.0
0.0,short,0.7795,0.0318,0.0785,0.2424,0.006,331.0
0.0,short,0.7795,0.0318,0.077,0.2576,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.303,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3333,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3333,0.006,331.0
0.0,short,0.7795,0.0318,0.0725,0.3333,0.006,331.0
0.0,short,0.7795,0.0152,0.0453,0.35,0.003,331.0
0.0,short,0.7795,0.0318,0.0725,0.3333,0.006,331.0
