variant,comparison,metric,method_A,mean_A,method_B,mean_B,obs_diff_A_minus_B,ci_lo_diff_95,ci_hi_diff_95,p_two_sided,n,B,seed
orig,TFIDF vs BM25 (Schema_R@1),Schema_R@1,tfidf,0.9094,bm25,0.8822,0.0272,0.0060,0.0514,0.0220,331,1000,42
orig,TFIDF-TG vs BM25-TG (InstReady),InstReady,tfidf,0.5257,bm25,0.5196,0.0060,-0.0151,0.0272,0.7120,331,1000,42
orig,TFIDF-TG vs Oracle-TG (InstReady),InstReady,tfidf,0.5257,oracle,0.5650,-0.0393,-0.0665,-0.0151,0.0040,331,1000,42
orig,TFIDF-TG vs TFIDF-AR (InstReady),InstReady,tfidf,0.5257,tfidf_acceptance_rerank,0.5227,0.0030,-0.0181,0.0211,0.8900,331,1000,42
orig,TFIDF-TG vs TFIDF-HAR (InstReady),InstReady,tfidf,0.5257,tfidf_hierarchical_acceptance_rerank,0.5136,0.0121,-0.0121,0.0363,0.3760,331,1000,42
orig,TFIDF-TG vs GCG-Full (InstReady),InstReady,tfidf,0.5257,tfidf_global_compat_full,0.4320,0.0937,0.0483,0.1420,0.0000,331,1000,42
orig,TFIDF-TG vs RAL-Basic (InstReady),InstReady,tfidf,0.5257,tfidf_relation_aware_basic,0.4985,0.0272,-0.0091,0.0665,0.2180,331,1000,42
orig,TFIDF-TG vs RAL-Full (InstReady),InstReady,tfidf,0.5257,tfidf_relation_aware_full,0.4169,0.1088,0.0695,0.1541,0.0000,331,1000,42
orig,TFIDF-TG vs AAG-Beam (InstReady),InstReady,tfidf,0.5257,tfidf_ambiguity_aware_beam,0.4230,0.1027,0.0514,0.1511,0.0000,331,1000,42
orig,TFIDF-TG vs AAG-Full (InstReady),InstReady,tfidf,0.5257,tfidf_ambiguity_aware_full,0.4199,0.1057,0.0574,0.1511,0.0000,331,1000,42
orig,RAL-Basic vs Oracle-TG (InstReady),InstReady,tfidf_relation_aware_basic,0.4985,oracle,0.5650,-0.0665,-0.1118,-0.0211,0.0080,331,1000,42
orig,TFIDF-TG vs AAG-Abstain (Coverage),param_coverage,tfidf,0.8639,tfidf_ambiguity_aware_abstain,0.2207,0.6432,0.6029,0.6812,0.0000,331,1000,42
noisy,TFIDF vs BM25 (Schema_R@1),Schema_R@1,tfidf,0.9033,bm25,0.8912,0.0121,-0.0091,0.0332,0.3400,331,1000,42
noisy,TFIDF-TG vs BM25-TG (InstReady),InstReady,tfidf,0.0393,bm25,0.0423,-0.0030,-0.0091,0.0000,0.7240,331,1000,42
noisy,TFIDF-TG vs Oracle-TG (InstReady),InstReady,tfidf,0.0393,oracle,0.0423,-0.0030,-0.0151,0.0091,0.8180,331,1000,42
noisy,TFIDF-TG vs TFIDF-AR (InstReady),InstReady,tfidf,0.0393,tfidf_acceptance_rerank,0.0423,-0.0030,-0.0091,0.0000,0.7520,331,1000,42
noisy,TFIDF-TG vs TFIDF-HAR (InstReady),InstReady,tfidf,0.0393,tfidf_hierarchical_acceptance_rerank,0.0423,-0.0030,-0.0091,0.0000,0.7520,331,1000,42
noisy,TFIDF-TG vs GCG-Full (InstReady),InstReady,tfidf,0.0393,tfidf_global_compat_full,0.0000,0.0393,0.0211,0.0634,0.0000,331,1000,42
noisy,TFIDF-TG vs RAL-Basic (InstReady),InstReady,tfidf,0.0393,tfidf_relation_aware_basic,0.0000,0.0393,0.0211,0.0634,0.0000,331,1000,42
noisy,TFIDF-TG vs RAL-Full (InstReady),InstReady,tfidf,0.0393,tfidf_relation_aware_full,0.0000,0.0393,0.0211,0.0634,0.0000,331,1000,42
noisy,TFIDF-TG vs AAG-Beam (InstReady),InstReady,tfidf,0.0393,tfidf_ambiguity_aware_beam,0.0000,0.0393,0.0211,0.0634,0.0000,331,1000,42
noisy,TFIDF-TG vs AAG-Full (InstReady),InstReady,tfidf,0.0393,tfidf_ambiguity_aware_full,0.0000,0.0393,0.0211,0.0634,0.0000,331,1000,42
noisy,RAL-Basic vs Oracle-TG (InstReady),InstReady,tfidf_relation_aware_basic,0.0000,oracle,0.0423,-0.0423,-0.0665,-0.0211,0.0000,331,1000,42
noisy,TFIDF-TG vs AAG-Abstain (Coverage),param_coverage,tfidf,0.7693,tfidf_ambiguity_aware_abstain,0.2370,0.5323,0.4949,0.5700,0.0000,331,1000,42
short,TFIDF vs BM25 (Schema_R@1),Schema_R@1,tfidf,0.7795,bm25,0.7674,0.0121,-0.0151,0.0393,0.4740,331,1000,42
