metric_name,system,n,point_estimate,ci_lower_95,ci_upper_95
parse_success_rate,pamop,18,0.7222222222222222,0.49126922453805477,0.8750043085364452
parse_success_rate,orlm,18,1.0,0.8241154494176252,1.0
parse_success_rate,optmath,18,1.0,0.8241154494176252,1.0
parse_success_rate,generic,18,1.0,0.8241154494176252,1.0
executable_rate,pamop,18,0.7222222222222222,0.49126922453805477,0.8750043085364452
executable_rate,optmath,18,0.8333333333333334,0.6077750036164076,0.9416352959953425
executable_rate,generic,18,0.8888888888888888,0.6719975513339578,0.9689811315464172
feasible_rate,pamop,18,0.7222222222222222,0.49126922453805477,0.8750043085364452
feasible_rate,optmath,18,1.0,0.8241154494176252,1.0
feasible_rate,generic,18,1.0,0.8241154494176252,1.0
objective_agreement_rate,pamop,11,0.7272727272727273,0.4343497069897537,0.9025411942607853
objective_agreement_rate,optmath,15,0.4,0.19824228082594664,0.642535572434923
objective_agreement_rate,generic,16,0.625,0.3864064709793481,0.815190174452472
