metric_name,system,n_evaluable,rate_or_state
parse_success_rate,pamop,6,0.8333333333333334
parse_success_rate,orlm,0,PENDING
parse_success_rate,optmath,0,PENDING
parse_success_rate,deepor,0,PENDING
parse_success_rate,orr1,0,PENDING
executable_rate,pamop,6,0.8333333333333334
executable_rate,orlm,0,PENDING
executable_rate,optmath,0,PENDING
executable_rate,deepor,0,PENDING
executable_rate,orr1,0,PENDING
feasible_rate,pamop,6,0.8333333333333334
feasible_rate,orlm,0,PENDING
feasible_rate,optmath,0,PENDING
feasible_rate,deepor,0,PENDING
feasible_rate,orr1,0,PENDING
objective_agreement_rate,pamop,5,0.8
objective_agreement_rate,orlm,0,PENDING
objective_agreement_rate,optmath,0,PENDING
objective_agreement_rate,deepor,0,PENDING
objective_agreement_rate,orr1,0,PENDING
