problem_id,lp_or_milp,partition_node_count,partition_depth,initial_generation_valid,initial_ampl_parse_success,initial_solver_success,initial_feasible_status,correction_invoked,correction_iterations,final_ampl_parse_success,final_solver_status,final_feasible,objective_produced,objective_value,failure_category,total_llm_calls,g_extr_calls,g_mod_calls,correction_calls,prompt_tokens,completion_tokens,total_tokens,latency_seconds,estimated_cost_usd,cost_status,provider,deployment,underlying_model,temperature,prompt_hashes,final_ampl_hash,gold_comparison_eligible,gold_solver_success,gold_feasible,gold_objective,objective_match_with_gold,semantic_correctness_status,semantically_wrong_but_feasible
14,LP,5,1,YES,True,True,True,False,0,True,solved,True,True,480.0,A. SUCCESS_NO_CORRECTION,4,1,3,0,2862,1248,4110,19.369827,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,551b0901ccce03a1;94aef4c9e1f9dbf4;b4796af6834b8fa5;c24c7b76661769f4,815900ff0239ee2a,True,True,True,486.0,False,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,True
23,MILP,1,0,YES,True,True,True,False,0,True,solved,True,True,40.0,A. SUCCESS_NO_CORRECTION,3,1,2,0,1912,811,2723,10.702875,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,0901fe7a5587bb39;9b76427e6160a368;fc6a16ddc704aa83,ce68f39ad3085e87,True,True,True,40.0,True,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,False
34,LP,3,1,YES,True,True,True,False,0,True,solved,True,True,400000.0,A. SUCCESS_NO_CORRECTION,3,1,2,0,1973,833,2806,12.328331,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,1316ef2f84135d23;3ae5f7564fb5070a;9851852c00b3aa76,8428c4809bf8f27d,True,True,True,400000.0,True,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,False
72,MILP,3,1,YES,True,True,True,False,0,True,solved,True,True,8.0,A. SUCCESS_NO_CORRECTION,3,1,2,0,1830,696,2526,10.154908,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,2a0fc4648ed3a3fc;2b046b8fb4f64188;98ae1712afa4518a,f00fbca38c041ed1,True,True,True,8.0,True,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,False
84,LP,1,0,YES,False,False,False,False,0,False,,False,False,,E. AMPL_PARSE_FAILURE,5,1,2,2,3151,1107,4258,20.402227,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,33f119f6beafd657;410a060e8e221138;49d53fda2f4691cf;4b5d6ac489660bf9;c5cf75cadee28205,94a5b5be45f80db8,True,True,True,1555.5555555555557,,NOT_EVALUABLE,
88,MILP,3,1,YES,True,True,True,False,0,True,solved,True,True,142.0,A. SUCCESS_NO_CORRECTION,3,1,2,0,1864,775,2639,9.735019,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,6d9c49ca8bb2f9de;74bc3cfa3f55c5c7;853cccfa27cbd29f,da3aabe2843a9b33,True,True,True,142.0,True,PARTIAL_GOLD_OBJECTIVE_STATUS_ONLY,False
59,LP,4,1,YES,False,False,False,True,1,True,solved,True,True,26.0,B. SUCCESS_AFTER_CORRECTION,10,1,6,3,6718,1815,8533,22.618151,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,0c1c6c9c74cadc97;0eb0e31b67e601f6;2b484692869d3f4a;3b30d06ef2bda80e;606de200c0fb533a;8b803a3a59142de9;8e23a485a782b6aa;91fddfa2ed4c8586;a8fca786a10cb11c;e74592b47ae96e4e,6c682575fce73216,True,True,True,26.000000000000007,True,OBJECTIVE_VALUE_PROXY_ONLY,False
69,MILP,5,1,YES,False,False,False,True,1,True,solved,True,True,20.0,B. SUCCESS_AFTER_CORRECTION,9,1,5,3,6932,2146,9078,24.372782,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,1232dab947204546;1c3518d29bf296bf;3ec411d7e6e16ccd;4850acf33837a5fe;7cd196ef44866176;81994db4c5b74408;d10f387e34d9212c;d80b6f6482f6b014;f3e21480002f4bd3,4417c57eb741ba5c,True,True,True,20.0,True,OBJECTIVE_VALUE_PROXY_ONLY,False
96,LP,1,0,YES,True,True,True,False,0,True,solved,True,True,36.6667,A. SUCCESS_NO_CORRECTION,3,1,2,0,2166,1082,3248,9.705919,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,047bf66ee2d43125;827bf47456c85fc0;af8aa739431cb960,d88a596c08a2b39c,True,True,True,27.5,False,OBJECTIVE_VALUE_PROXY_ONLY,True
117,LP,3,1,YES,False,False,False,False,0,False,,False,False,,E. AMPL_PARSE_FAILURE,6,1,3,2,3844,1208,5052,13.367708,,UNAVAILABLE_AZURE_ACCOUNT_PRICING_NOT_DETERMINED,azure_openai,gpt-5.4,gpt-5.4-2026-03-05,0.2,23e0660371cdc5a9;3541f13f0648d428;49e3ac0697898aec;624cf4852ee88918;9363e54e272e33ea;d658a143c24de66d,85362f5064f5ff6e,True,True,True,600.0,,NOT_EVALUABLE,
