variant,baseline,param_type,n_expected,n_filled,param_coverage,type_match,exact5_on_hits,exact20_on_hits,n_queries
orig,tfidf,currency,196,169,0.8622448979591837,0.9881656804733728,0.3433734939759036,0.39759036144578314,331
orig,tfidf,float,1265,1139,0.9003952569169961,0.9841966637401229,0.18844444444444444,0.2222222222222222,331
orig,tfidf,integer,207,166,0.8019323671497585,0.9879518072289156,0.1111111111111111,0.1111111111111111,331
orig,tfidf,percent,179,167,0.9329608938547486,0.6107784431137725,0.5568862275449101,0.5868263473053892,331
orig,tfidf_constrained,currency,196,170,0.8673469387755102,1.0,0.6227544910179641,0.6526946107784432,331
orig,tfidf_constrained,float,1265,1133,0.8956521739130435,0.9567519858781994,0.5531724754244861,0.5871313672922251,331
orig,tfidf_constrained,integer,207,169,0.8164251207729468,0.9704142011834319,0.45454545454545453,0.45454545454545453,331
orig,tfidf_constrained,percent,179,94,0.5251396648044693,1.0,0.8723404255319149,0.8723404255319149,331
orig,tfidf_max_weight_matching,currency,196,172,0.8775510204081632,1.0,0.5266272189349113,0.5976331360946746,331
orig,tfidf_max_weight_matching,float,1265,1136,0.8980237154150198,0.9445422535211268,0.45187165775401067,0.49376114081996436,331
orig,tfidf_max_weight_matching,integer,207,172,0.8309178743961353,0.9883720930232558,0.5773809523809523,0.5773809523809523,331
orig,tfidf_max_weight_matching,percent,179,69,0.3854748603351955,1.0,0.8405797101449275,0.8405797101449275,331
orig,tfidf_optimization_role_repair,currency,196,172,0.8775510204081632,1.0,0.5266272189349113,0.5976331360946746,331
orig,tfidf_optimization_role_repair,float,1265,1136,0.8980237154150198,0.9436619718309859,0.4500891265597148,0.4919786096256685,331
orig,tfidf_optimization_role_repair,integer,207,172,0.8309178743961353,0.9883720930232558,0.5833333333333334,0.5833333333333334,331
orig,tfidf_optimization_role_repair,percent,179,69,0.3854748603351955,0.9710144927536232,0.8115942028985508,0.8115942028985508,331
orig,tfidf_search_structured_grounding,currency,196,170,0.8673469387755102,1.0,0.6167664670658682,0.6407185628742516,331
orig,tfidf_search_structured_grounding,float,1265,1093,0.8640316205533597,0.9451052150045746,0.6372093023255814,0.652093023255814,331
orig,tfidf_search_structured_grounding,integer,207,169,0.8164251207729468,0.9881656804733728,0.6121212121212121,0.6121212121212121,331
orig,tfidf_search_structured_grounding,percent,179,60,0.33519553072625696,1.0,0.8166666666666667,0.8166666666666667,331
orig,tfidf_semantic_ir_repair,currency,196,160,0.8163265306122449,1.0,0.5222929936305732,0.5796178343949044,331
orig,tfidf_semantic_ir_repair,float,1265,1115,0.8814229249011858,0.9497757847533632,0.4990942028985507,0.5416666666666666,331
orig,tfidf_semantic_ir_repair,integer,207,165,0.7971014492753623,0.9575757575757575,0.36024844720496896,0.36024844720496896,331
orig,tfidf_semantic_ir_repair,percent,179,61,0.3407821229050279,1.0,0.8032786885245902,0.8032786885245902,331
