problem_id,n_extracted,has_spelled_number,has_percent_cue,has_currency_cue,has_decimal_or_fraction,has_bound_cue,has_per_each_cue
nlp4lp_test_0,6,1,1,1,1,1,1
nlp4lp_test_1,9,1,0,1,1,0,1
nlp4lp_test_2,9,1,0,1,1,1,1
nlp4lp_test_3,7,0,0,1,1,1,1
nlp4lp_test_4,6,1,1,1,1,1,1
nlp4lp_test_5,12,1,1,1,1,1,1
nlp4lp_test_6,8,0,0,1,1,1,1
nlp4lp_test_7,8,0,0,1,1,1,1
nlp4lp_test_8,9,1,0,1,1,0,1
nlp4lp_test_9,11,1,0,1,1,0,1
nlp4lp_test_10,7,0,0,1,1,1,1
nlp4lp_test_11,10,1,0,1,1,1,1
nlp4lp_test_12,8,0,0,1,1,0,1
nlp4lp_test_13,12,0,0,1,1,1,1
nlp4lp_test_14,5,1,1,1,1,1,1
nlp4lp_test_15,14,1,0,1,1,1,1
nlp4lp_test_16,8,0,0,1,1,0,1
nlp4lp_test_17,9,0,1,1,1,1,0
nlp4lp_test_18,9,1,0,1,1,0,1
nlp4lp_test_19,9,0,0,1,1,1,1
nlp4lp_test_20,6,0,0,1,1,1,1
nlp4lp_test_21,6,1,0,1,1,1,1
nlp4lp_test_22,9,1,0,1,1,1,1
nlp4lp_test_23,9,1,0,1,1,1,1
nlp4lp_test_24,12,1,0,1,1,1,1
nlp4lp_test_25,12,1,0,1,1,0,1
nlp4lp_test_26,8,1,1,1,1,1,1
nlp4lp_test_27,12,1,0,0,1,1,1
nlp4lp_test_28,11,0,0,1,1,1,1
nlp4lp_test_29,5,0,0,1,1,1,1
nlp4lp_test_30,7,0,0,1,1,1,1
nlp4lp_test_31,12,1,0,1,1,0,1
nlp4lp_test_32,8,0,0,1,1,1,1
nlp4lp_test_33,8,0,0,1,1,0,1
nlp4lp_test_34,9,0,0,1,1,0,1
nlp4lp_test_35,8,0,0,1,1,1,1
nlp4lp_test_36,8,0,0,1,1,1,1
nlp4lp_test_37,16,1,0,1,1,1,0
nlp4lp_test_38,9,0,0,1,1,0,1
nlp4lp_test_39,6,0,0,1,1,0,1
nlp4lp_test_40,11,1,1,0,1,1,1
nlp4lp_test_41,7,1,0,0,1,1,1
nlp4lp_test_42,9,1,0,0,1,0,1
nlp4lp_test_43,7,1,0,0,1,1,1
nlp4lp_test_44,9,0,0,0,1,1,1
nlp4lp_test_45,9,0,0,0,1,1,1
nlp4lp_test_46,6,0,0,0,1,1,1
nlp4lp_test_47,4,0,0,0,1,1,1
nlp4lp_test_48,7,0,1,0,1,1,1
nlp4lp_test_49,6,0,0,1,1,0,1
nlp4lp_test_50,9,1,1,0,1,1,1
nlp4lp_test_51,6,0,0,0,1,1,1
nlp4lp_test_52,12,1,0,0,1,1,1
nlp4lp_test_53,10,1,0,0,1,0,1
nlp4lp_test_54,9,0,0,0,1,1,1
nlp4lp_test_55,9,0,0,0,1,1,1
nlp4lp_test_56,6,0,0,0,1,1,1
nlp4lp_test_57,6,1,0,0,1,1,1
nlp4lp_test_58,7,0,1,0,1,1,1
nlp4lp_test_59,6,0,0,1,1,0,1
nlp4lp_test_60,9,1,1,0,1,1,1
nlp4lp_test_61,6,0,0,0,1,1,1
nlp4lp_test_62,6,0,0,0,1,1,1
nlp4lp_test_63,9,1,0,0,1,0,1
nlp4lp_test_64,9,0,0,0,1,1,1
nlp4lp_test_65,9,0,0,0,1,1,1
nlp4lp_test_66,6,0,0,0,1,1,1
nlp4lp_test_67,4,0,0,0,1,1,1
nlp4lp_test_68,7,0,1,0,1,1,1
nlp4lp_test_69,6,0,0,1,1,1,1
nlp4lp_test_70,14,1,1,0,1,1,1
nlp4lp_test_71,7,1,0,0,1,1,1
nlp4lp_test_72,7,1,0,0,1,1,1
nlp4lp_test_73,9,1,0,0,1,0,1
nlp4lp_test_74,9,0,0,0,1,1,1
nlp4lp_test_75,9,0,0,0,1,1,1
nlp4lp_test_76,6,0,0,0,1,1,1
nlp4lp_test_77,5,0,0,0,1,1,1
nlp4lp_test_78,7,0,1,0,1,1,1
nlp4lp_test_79,6,0,0,1,1,0,1
nlp4lp_test_80,9,1,1,0,1,1,1
nlp4lp_test_81,7,1,0,0,1,1,1
nlp4lp_test_82,8,1,0,0,1,1,1
nlp4lp_test_83,9,1,0,0,1,0,1
nlp4lp_test_84,10,1,0,0,1,1,1
nlp4lp_test_85,9,0,0,0,1,1,1
nlp4lp_test_86,6,0,1,0,1,1,1
nlp4lp_test_87,5,0,0,0,1,1,1
nlp4lp_test_88,7,0,1,0,1,1,1
nlp4lp_test_89,15,1,0,0,1,1,1
nlp4lp_test_90,10,1,1,0,1,1,1
nlp4lp_test_91,18,1,0,0,1,1,1
nlp4lp_test_92,7,0,1,0,1,1,1
nlp4lp_test_93,7,0,0,0,1,1,1
nlp4lp_test_94,4,0,0,0,1,1,1
nlp4lp_test_95,16,1,0,0,1,1,1
nlp4lp_test_96,8,0,0,0,1,1,1
nlp4lp_test_97,9,0,0,0,1,1,1
nlp4lp_test_98,4,0,0,0,1,1,1
nlp4lp_test_99,15,1,0,0,1,1,1
nlp4lp_test_100,9,0,1,0,1,1,1
nlp4lp_test_101,18,1,0,0,1,1,1
nlp4lp_test_102,7,0,1,0,1,1,1
nlp4lp_test_103,8,1,0,0,1,1,1
nlp4lp_test_104,6,1,0,0,1,1,1
nlp4lp_test_105,16,1,0,0,1,1,1
nlp4lp_test_106,8,0,0,0,1,1,1
nlp4lp_test_107,9,0,0,0,1,1,1
nlp4lp_test_108,6,1,0,0,1,1,0
nlp4lp_test_109,15,1,0,0,1,1,1
nlp4lp_test_110,9,0,1,0,1,1,1
nlp4lp_test_111,12,1,0,0,1,1,1
nlp4lp_test_112,7,0,1,0,1,1,1
nlp4lp_test_113,7,0,0,0,1,1,1
nlp4lp_test_114,5,1,0,0,1,1,1
nlp4lp_test_115,16,1,0,0,1,1,1
nlp4lp_test_116,8,0,0,0,1,1,1
nlp4lp_test_117,9,0,0,0,1,1,1
nlp4lp_test_118,5,0,0,0,1,1,1
nlp4lp_test_119,15,1,0,0,1,1,1
nlp4lp_test_120,9,0,1,0,1,1,1
nlp4lp_test_121,16,1,0,0,1,1,1
nlp4lp_test_122,7,0,1,0,1,1,1
nlp4lp_test_123,8,1,0,0,1,1,1
nlp4lp_test_124,7,1,0,0,1,1,1
nlp4lp_test_125,16,1,0,0,1,1,1
nlp4lp_test_126,11,1,0,0,1,1,1
nlp4lp_test_127,12,1,0,0,1,1,1
nlp4lp_test_128,4,0,0,0,1,1,0
nlp4lp_test_129,15,1,0,0,1,1,1
nlp4lp_test_130,9,0,1,0,1,1,1
nlp4lp_test_131,18,1,0,0,1,1,1
nlp4lp_test_132,8,1,1,0,1,1,1
nlp4lp_test_133,7,1,1,0,1,1,1
nlp4lp_test_134,16,1,0,0,1,1,1
nlp4lp_test_135,9,0,0,0,1,1,1
nlp4lp_test_136,9,0,0,0,1,1,1
nlp4lp_test_137,8,1,0,0,1,1,0
nlp4lp_test_138,6,0,0,1,1,1,1
nlp4lp_test_139,6,0,0,0,1,1,1
nlp4lp_test_140,7,0,1,0,1,1,1
nlp4lp_test_141,7,0,1,0,1,1,1
nlp4lp_test_142,6,0,0,0,1,1,1
nlp4lp_test_143,8,0,0,0,1,1,1
nlp4lp_test_144,7,0,1,0,1,1,0
nlp4lp_test_145,3,0,0,0,1,1,0
nlp4lp_test_146,5,1,1,0,1,1,0
nlp4lp_test_147,4,0,1,0,1,1,1
nlp4lp_test_148,6,0,0,1,1,1,1
nlp4lp_test_149,6,0,0,0,1,1,1
nlp4lp_test_150,10,1,1,0,1,1,1
nlp4lp_test_151,8,1,1,0,1,1,1
nlp4lp_test_152,6,0,0,0,1,1,1
nlp4lp_test_153,7,0,0,0,1,1,0
nlp4lp_test_154,7,0,1,0,1,1,1
nlp4lp_test_155,3,0,0,0,1,1,0
nlp4lp_test_156,4,0,0,0,1,1,0
nlp4lp_test_157,4,0,1,0,1,1,0
nlp4lp_test_158,6,0,0,0,1,1,1
nlp4lp_test_159,6,0,0,0,1,1,1
nlp4lp_test_160,7,0,1,0,1,1,1
nlp4lp_test_161,7,0,1,0,1,1,1
nlp4lp_test_162,6,0,0,0,1,1,1
nlp4lp_test_163,8,1,0,0,1,1,1
nlp4lp_test_164,7,0,1,0,1,1,1
nlp4lp_test_165,3,0,0,0,1,1,0
nlp4lp_test_166,3,0,0,0,1,1,0
nlp4lp_test_167,4,0,1,0,1,1,1
nlp4lp_test_168,6,0,0,1,1,1,1
nlp4lp_test_169,6,0,0,0,1,1,1
nlp4lp_test_170,7,0,1,0,1,1,1
nlp4lp_test_171,7,0,1,0,1,1,1
nlp4lp_test_172,6,0,0,0,1,1,1
nlp4lp_test_173,8,1,0,0,1,1,1
nlp4lp_test_174,7,0,1,0,1,1,1
nlp4lp_test_175,3,0,0,0,1,1,0
nlp4lp_test_176,4,0,0,0,1,1,1
nlp4lp_test_177,5,0,1,0,1,1,1
nlp4lp_test_178,7,1,0,1,1,1,1
nlp4lp_test_179,7,0,0,0,1,1,1
nlp4lp_test_180,7,0,1,0,1,1,1
nlp4lp_test_181,7,0,1,0,1,1,1
nlp4lp_test_182,6,0,0,0,1,1,1
nlp4lp_test_183,7,0,0,0,1,1,1
nlp4lp_test_184,7,1,1,0,1,1,1
nlp4lp_test_185,3,0,0,0,1,1,0
nlp4lp_test_186,4,0,0,0,1,1,0
nlp4lp_test_187,4,0,1,0,1,1,1
nlp4lp_test_188,13,1,0,1,1,1,0
nlp4lp_test_189,10,1,0,1,1,1,1
nlp4lp_test_190,8,0,0,1,1,0,1
nlp4lp_test_191,8,0,0,1,1,0,1
nlp4lp_test_192,9,1,0,1,1,0,1
nlp4lp_test_193,8,0,0,1,1,1,1
nlp4lp_test_194,8,0,0,1,1,1,1
nlp4lp_test_195,7,0,0,1,1,1,1
nlp4lp_test_196,9,1,0,1,1,1,1
nlp4lp_test_197,12,1,0,1,1,1,1
nlp4lp_test_198,11,0,0,1,1,1,1
nlp4lp_test_199,12,1,0,1,1,0,1
nlp4lp_test_200,7,0,0,1,1,1,1
nlp4lp_test_201,9,1,0,1,1,1,1
nlp4lp_test_202,6,0,0,1,1,1,1
nlp4lp_test_203,9,1,1,1,1,1,1
nlp4lp_test_204,8,0,0,1,1,0,1
nlp4lp_test_205,11,0,0,1,1,0,1
nlp4lp_test_206,9,1,1,1,1,0,1
nlp4lp_test_207,5,0,0,1,1,1,1
nlp4lp_test_208,7,0,0,1,1,1,1
nlp4lp_test_209,9,1,0,1,1,0,1
nlp4lp_test_210,7,1,0,1,1,1,1
nlp4lp_test_211,6,1,0,1,1,1,1
nlp4lp_test_212,12,1,1,1,1,1,1
nlp4lp_test_213,5,0,0,0,1,1,1
nlp4lp_test_214,5,1,1,0,1,1,1
nlp4lp_test_215,7,0,1,0,1,1,1
nlp4lp_test_216,7,1,1,0,1,1,1
nlp4lp_test_217,10,1,0,1,1,1,1
nlp4lp_test_218,9,1,1,0,1,1,1
nlp4lp_test_219,5,1,0,0,1,1,1
nlp4lp_test_220,7,1,0,1,1,1,1
nlp4lp_test_221,12,1,0,0,1,1,1
nlp4lp_test_222,10,1,1,0,1,1,1
nlp4lp_test_223,6,0,0,1,1,0,1
nlp4lp_test_224,7,0,1,0,1,1,1
nlp4lp_test_225,10,0,0,1,1,1,1
nlp4lp_test_226,8,1,1,0,1,1,1
nlp4lp_test_227,11,1,0,0,1,1,1
nlp4lp_test_228,4,0,1,0,1,1,1
nlp4lp_test_229,8,1,0,1,1,1,0
nlp4lp_test_230,7,1,1,0,1,1,1
nlp4lp_test_231,9,0,1,0,1,1,1
nlp4lp_test_232,9,1,0,0,1,1,1
nlp4lp_test_233,7,1,0,0,1,1,0
nlp4lp_test_234,8,1,1,0,1,1,1
nlp4lp_test_235,8,1,1,0,1,1,1
nlp4lp_test_236,6,1,0,0,1,1,0
nlp4lp_test_237,9,0,1,0,1,1,1
nlp4lp_test_238,8,1,0,0,1,1,0
nlp4lp_test_239,6,1,0,0,1,1,1
nlp4lp_test_240,8,0,1,1,1,1,1
nlp4lp_test_241,7,0,1,0,1,1,1
nlp4lp_test_242,5,1,0,0,1,1,1
nlp4lp_test_243,6,0,0,0,1,1,1
nlp4lp_test_244,12,1,0,0,1,1,1
nlp4lp_test_245,4,1,0,0,1,1,1
nlp4lp_test_246,9,1,0,0,1,0,1
nlp4lp_test_247,9,1,0,0,1,1,1
nlp4lp_test_248,7,1,0,0,1,1,1
nlp4lp_test_249,10,1,0,0,1,1,1
nlp4lp_test_250,9,0,1,1,1,1,1
nlp4lp_test_251,7,0,1,0,1,1,1
nlp4lp_test_252,5,1,0,0,1,1,0
nlp4lp_test_253,8,1,1,1,1,1,1
nlp4lp_test_254,4,0,1,0,1,1,1
nlp4lp_test_255,8,1,1,0,1,1,1
nlp4lp_test_256,8,1,0,0,1,1,1
nlp4lp_test_257,9,1,0,0,1,1,1
nlp4lp_test_258,7,1,1,0,1,1,1
nlp4lp_test_259,7,1,0,0,1,1,1
nlp4lp_test_260,10,1,0,0,1,1,1
nlp4lp_test_261,9,0,0,0,1,1,1
nlp4lp_test_262,5,0,0,1,1,0,1
nlp4lp_test_263,6,0,0,0,1,1,1
nlp4lp_test_264,7,1,1,0,1,1,1
nlp4lp_test_265,8,0,0,0,1,1,1
nlp4lp_test_266,8,1,0,1,1,1,1
nlp4lp_test_267,6,0,0,1,1,1,1
nlp4lp_test_268,9,1,1,0,1,1,1
nlp4lp_test_269,5,1,0,0,1,1,1
nlp4lp_test_270,7,1,0,0,1,1,1
nlp4lp_test_271,6,1,0,0,1,1,1
nlp4lp_test_272,6,0,0,1,1,0,1
nlp4lp_test_273,9,0,0,0,1,1,1
nlp4lp_test_274,6,0,0,0,1,1,1
nlp4lp_test_275,7,0,1,0,1,1,1
nlp4lp_test_276,6,0,1,1,1,1,1
nlp4lp_test_277,6,1,0,0,1,0,1
nlp4lp_test_278,5,0,0,0,1,0,0
nlp4lp_test_279,7,0,1,1,1,0,1
nlp4lp_test_280,6,0,1,1,1,1,1
nlp4lp_test_281,9,1,0,1,1,0,1
nlp4lp_test_282,10,1,1,1,1,0,0
nlp4lp_test_283,0,0,0,1,1,0,1
nlp4lp_test_284,2,1,0,1,1,1,1
nlp4lp_test_285,3,1,0,1,1,0,1
nlp4lp_test_286,4,1,0,1,1,0,1
nlp4lp_test_287,5,1,1,1,1,1,1
nlp4lp_test_288,5,1,1,1,1,0,1
nlp4lp_test_289,3,1,1,1,1,1,1
nlp4lp_test_290,13,1,1,1,1,1,1
nlp4lp_test_291,6,1,0,0,1,0,1
nlp4lp_test_292,5,1,0,0,1,0,1
nlp4lp_test_293,6,1,0,0,1,0,1
nlp4lp_test_294,1,1,0,1,1,0,1
nlp4lp_test_295,0,0,0,0,1,0,1
nlp4lp_test_296,0,0,0,0,1,1,0
nlp4lp_test_297,0,0,0,0,1,0,1
nlp4lp_test_298,0,0,0,1,1,1,1
nlp4lp_test_299,1,0,0,1,1,0,1
nlp4lp_test_300,1,1,0,0,1,1,1
nlp4lp_test_301,0,0,0,0,1,1,1
nlp4lp_test_302,1,1,0,1,1,0,1
nlp4lp_test_303,2,0,0,0,1,0,1
nlp4lp_test_304,0,0,0,1,1,0,1
nlp4lp_test_305,0,0,0,1,1,1,1
nlp4lp_test_306,0,0,0,0,1,1,1
nlp4lp_test_307,5,1,1,1,1,1,1
nlp4lp_test_308,0,0,0,0,1,0,1
nlp4lp_test_309,1,1,0,1,1,0,1
nlp4lp_test_310,7,0,0,1,1,1,1
nlp4lp_test_311,9,0,0,1,1,1,1
nlp4lp_test_312,9,1,1,1,1,1,1
nlp4lp_test_313,12,0,1,1,1,1,1
nlp4lp_test_314,4,1,0,1,1,0,1
nlp4lp_test_315,9,0,0,1,1,0,1
nlp4lp_test_316,9,0,0,1,1,1,1
nlp4lp_test_317,12,0,0,1,1,1,1
nlp4lp_test_318,9,1,1,1,1,1,1
nlp4lp_test_319,9,1,0,1,1,0,1
nlp4lp_test_320,1,0,0,1,1,0,1
nlp4lp_test_321,9,0,0,1,1,1,1
nlp4lp_test_322,9,0,0,1,1,1,1
nlp4lp_test_323,6,1,0,0,1,0,1
nlp4lp_test_324,5,0,0,1,1,1,1
nlp4lp_test_325,10,0,0,1,1,1,1
nlp4lp_test_326,3,0,0,1,1,1,1
nlp4lp_test_327,5,0,0,1,1,0,1
nlp4lp_test_328,6,1,0,1,1,1,1
nlp4lp_test_329,3,0,0,0,1,0,0
nlp4lp_test_330,6,0,0,0,1,1,1
