problem_id,gold_schema,predicted_schema,expected_scalar_slots,expected_scalar_count,extracted_numeric_mentions,filled_slots,unfilled_slots,type_compatible_fills,incompatible_fills,incompatible_slots,coverage,type_match,ordinary_ready,exact5,exact20,root_causes
nlp4lp_test_14,nlp4lp_test_14,nlp4lp_test_14,TotalInvestment MaxInvestmentApartments MinInvestmentRatio ReturnRateApartments ReturnRateTownhouses,5,"16:$600,000:600000.0:currency | 37:$200,000:200000.0:currency | 63:10%:0.1:percent | 68:15%:0.15:percent",TotalInvestment MaxInvestmentApartments MinInvestmentRatio ReturnRateApartments ReturnRateTownhouses,,3,2,ReturnRateApartments ReturnRateTownhouses,1.0,0.6,0,0.4,0.4,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_39,nlp4lp_test_39,nlp4lp_test_39,StaffShiftHours StaffShiftPay SubstituteShiftHours SubstituteShiftPay TotalTeachingHours TotalBudget,6,12:6:6.0:int | 17:$300:300.0:currency | 23:3:3.0:int | 28:$100:100.0:currency | 36:1000:1000.0:int | 48:$40000:40000.0:currency,StaffShiftHours StaffShiftPay SubstituteShiftHours SubstituteShiftPay TotalTeachingHours TotalBudget,,4,2,SubstituteShiftPay TotalTeachingHours,1.0,0.6666666666666666,0,0.16666666666666666,0.16666666666666666,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_46,nlp4lp_test_46,nlp4lp_test_46,CashMachineProcessingRate CardMachineProcessingRate CashMachinePaperRolls CardMachinePaperRolls MinPeopleProcessed MaxPaperRolls,6,17:20:20.0:int | 27:30:30.0:int | 35:4:4.0:int | 46:5:5.0:int | 63:500:500.0:int | 72:90:90.0:int,CashMachineProcessingRate CardMachineProcessingRate CashMachinePaperRolls CardMachinePaperRolls MinPeopleProcessed MaxPaperRolls,,4,2,CashMachineProcessingRate CardMachineProcessingRate,1.0,0.6666666666666666,0,0.16666666666666666,0.16666666666666666,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_47,nlp4lp_test_47,nlp4lp_test_47,GlassJarCapacity PlasticJarCapacity MinPlasticToGlassRatio MinNumberGlassJars TotalHoney,5,16:250:250.0:int | 26:300:300.0:int | 52:20:20.0:int | 62:20000:20000.0:int,GlassJarCapacity PlasticJarCapacity MinPlasticToGlassRatio MinNumberGlassJars,TotalHoney,3,1,MinPlasticToGlassRatio,0.8,0.75,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED
nlp4lp_test_49,nlp4lp_test_49,nlp4lp_test_49,HoursSeasonal PaymentSeasonal HoursPermanent PaymentPermanent RequiredLaborHours TotalBudget,6,13:6:6.0:int | 20:$120:120.0:currency | 26:10:10.0:int | 33:$250:250.0:currency | 38:300:300.0:int | 55:$6500:6500.0:currency,HoursSeasonal PaymentSeasonal HoursPermanent PaymentPermanent RequiredLaborHours TotalBudget,,4,2,PaymentPermanent RequiredLaborHours,1.0,0.6666666666666666,0,0.5,0.5,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_66,nlp4lp_test_66,nlp4lp_test_66,DualStampRate DualGlueUsage SingleStampRate SingleGlueUsage MinTotalLetters MaxGlueUsage,6,25:50:50.0:int | 37:30:30.0:int | 47:20:20.0:int | 60:15:15.0:int | 105:300:300.0:int | 113:135:135.0:int,DualStampRate DualGlueUsage SingleStampRate SingleGlueUsage MinTotalLetters MaxGlueUsage,,4,2,DualStampRate SingleStampRate,1.0,0.6666666666666666,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_67,nlp4lp_test_67,nlp4lp_test_67,CapacitySmallCrate CapacityLargeCrate TotalBananas MinSmallCrates LargeToSmallRatio,5,16:20:20.0:int | 24:50:50.0:int | 50:5:5.0:int | 61:500:500.0:int,CapacitySmallCrate CapacityLargeCrate TotalBananas MinSmallCrates,LargeToSmallRatio,2,2,CapacitySmallCrate CapacityLargeCrate,0.8,0.5,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT NUMBER_NOT_EXTRACTED WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_70,nlp4lp_test_70,nlp4lp_test_70,MotionActivatedDropRate MotionActivatedEnergyConsumption ManualDropRate ManualEnergyConsumption MaxManualPercentage MinMotionActivatedMachines MinTotalDrops MaxTotalEnergy,8,3:two:2.0:int | 12:one:1.0:int | 16:one.:1.0:int | 20:one:1.0:int | 23:50:50.0:int | 29:30:30.0:int | 33:one:1.0:int | 36:75:75.0:int | 42:20:20.0:int | 48:one:1.0:int | 54:40%:0.4:percent | 65:3:3.0:int | 80:1000:1000.0:int | 89:500:500.0:int,MotionActivatedDropRate MotionActivatedEnergyConsumption ManualDropRate ManualEnergyConsumption MaxManualPercentage MinMotionActivatedMachines MinTotalDrops MaxTotalEnergy,,6,2,ManualDropRate MaxManualPercentage,1.0,0.75,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_76,nlp4lp_test_76,nlp4lp_test_76,ManualSliceRate AutomaticSliceRate ManualGreaseRate AutomaticGreaseRate MinimumSlicesPerMinute MaximumGreasePerMinute,6,20:5:5.0:int | 30:8:8.0:int | 48:3:3.0:int | 59:6:6.0:int | 103:50:50.0:int | 112:35:35.0:int,ManualSliceRate AutomaticSliceRate ManualGreaseRate AutomaticGreaseRate MinimumSlicesPerMinute MaximumGreasePerMinute,,2,4,ManualSliceRate AutomaticSliceRate ManualGreaseRate AutomaticGreaseRate,1.0,0.3333333333333333,0,0.0,0.0,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
nlp4lp_test_79,nlp4lp_test_79,nlp4lp_test_79,FullTimeHoursPerShift PartTimeHoursPerShift FullTimePayPerShift PartTimePayPerShift LaborHoursRequired TotalBudget,6,15:8:8.0:int | 24:4:4.0:int | 35:$300:300.0:currency | 44:$100:100.0:currency | 55:500:500.0:int | 66:$15000:15000.0:currency,FullTimeHoursPerShift PartTimeHoursPerShift FullTimePayPerShift PartTimePayPerShift LaborHoursRequired TotalBudget,,4,2,PartTimePayPerShift LaborHoursRequired,1.0,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,DUPLICATE_REUSE_REQUIREMENT WRONG_EXPECTED_SLOT_TYPE
