problem_id,schema_hit,baseline_strict,ratio_word_prototype_strict,transition,ratio_word_tokens_added
nlp4lp_test_0,1,1,1,same,0
nlp4lp_test_1,1,1,1,same,0
nlp4lp_test_2,1,1,1,same,0
nlp4lp_test_3,1,1,1,same,0
nlp4lp_test_4,0,0,0,same,0
nlp4lp_test_5,1,1,1,same,0
nlp4lp_test_6,1,1,1,same,0
nlp4lp_test_7,1,1,1,same,0
nlp4lp_test_8,1,1,1,same,0
nlp4lp_test_9,1,1,1,same,0
nlp4lp_test_10,1,1,1,same,0
nlp4lp_test_11,1,1,1,same,0
nlp4lp_test_12,0,0,0,same,0
nlp4lp_test_13,1,1,1,same,0
nlp4lp_test_14,1,0,0,same,0
nlp4lp_test_15,1,1,1,same,0
nlp4lp_test_16,1,1,1,same,0
nlp4lp_test_17,1,1,1,same,0
nlp4lp_test_18,1,1,1,same,0
nlp4lp_test_19,1,1,1,same,0
nlp4lp_test_20,1,1,1,same,0
nlp4lp_test_21,1,1,1,same,0
nlp4lp_test_22,1,1,1,same,0
nlp4lp_test_23,1,1,1,same,0
nlp4lp_test_24,0,0,0,same,0
nlp4lp_test_25,1,1,1,same,0
nlp4lp_test_26,1,1,1,same,0
nlp4lp_test_27,1,1,1,same,0
nlp4lp_test_28,1,1,1,same,0
nlp4lp_test_29,1,1,1,same,1
nlp4lp_test_30,1,1,1,same,0
nlp4lp_test_31,1,1,1,same,0
nlp4lp_test_32,1,1,1,same,0
nlp4lp_test_33,1,1,1,same,0
nlp4lp_test_34,1,1,1,same,0
nlp4lp_test_35,1,1,1,same,0
nlp4lp_test_36,0,0,0,same,0
nlp4lp_test_37,1,1,1,same,0
nlp4lp_test_38,1,1,1,same,0
nlp4lp_test_39,1,0,0,same,0
nlp4lp_test_40,1,1,1,same,0
nlp4lp_test_41,1,1,1,same,0
nlp4lp_test_42,1,1,1,same,0
nlp4lp_test_43,1,1,1,same,0
nlp4lp_test_44,1,1,1,same,0
nlp4lp_test_45,1,1,1,same,0
nlp4lp_test_46,1,0,0,same,0
nlp4lp_test_47,1,0,1,gain,1
nlp4lp_test_48,1,1,1,same,0
nlp4lp_test_49,1,0,0,same,0
nlp4lp_test_50,1,1,1,same,0
nlp4lp_test_51,1,1,1,same,0
nlp4lp_test_52,1,1,1,same,0
nlp4lp_test_53,1,1,1,same,0
nlp4lp_test_54,1,1,1,same,0
nlp4lp_test_55,1,1,1,same,0
nlp4lp_test_56,1,1,1,same,0
nlp4lp_test_57,1,1,1,same,0
nlp4lp_test_58,1,1,1,same,0
nlp4lp_test_59,1,1,1,same,0
nlp4lp_test_60,1,1,1,same,0
nlp4lp_test_61,1,1,1,same,0
nlp4lp_test_62,1,1,1,same,0
nlp4lp_test_63,1,1,1,same,0
nlp4lp_test_64,1,1,1,same,0
nlp4lp_test_65,1,1,1,same,0
nlp4lp_test_66,1,0,0,same,0
nlp4lp_test_67,1,0,0,same,1
nlp4lp_test_68,1,1,1,same,0
nlp4lp_test_69,1,1,1,same,0
nlp4lp_test_70,1,0,0,same,0
nlp4lp_test_71,1,1,1,same,0
nlp4lp_test_72,1,1,1,same,0
nlp4lp_test_73,1,1,1,same,0
nlp4lp_test_74,1,1,1,same,0
nlp4lp_test_75,1,1,1,same,0
nlp4lp_test_76,1,0,0,same,0
nlp4lp_test_77,1,1,1,same,0
nlp4lp_test_78,1,1,1,same,0
nlp4lp_test_79,1,0,0,same,0
nlp4lp_test_80,1,1,1,same,0
nlp4lp_test_81,1,1,1,same,0
nlp4lp_test_82,1,1,1,same,0
nlp4lp_test_83,1,1,1,same,0
nlp4lp_test_84,1,1,1,same,0
nlp4lp_test_85,1,1,1,same,0
nlp4lp_test_86,1,1,1,same,0
nlp4lp_test_87,1,1,1,same,0
nlp4lp_test_88,1,1,1,same,0
nlp4lp_test_89,1,1,1,same,0
nlp4lp_test_90,1,1,1,same,0
nlp4lp_test_91,1,1,1,same,0
nlp4lp_test_92,1,1,1,same,0
nlp4lp_test_93,1,1,1,same,0
nlp4lp_test_94,1,1,1,same,1
nlp4lp_test_95,1,1,1,same,0
nlp4lp_test_96,0,0,0,same,1
nlp4lp_test_97,1,0,0,same,0
nlp4lp_test_98,1,0,1,gain,1
nlp4lp_test_99,1,1,1,same,0
nlp4lp_test_100,1,1,1,same,0
nlp4lp_test_101,1,0,0,same,0
nlp4lp_test_102,1,1,1,same,0
nlp4lp_test_103,1,1,1,same,1
nlp4lp_test_104,1,1,1,same,1
nlp4lp_test_105,1,1,1,same,0
nlp4lp_test_106,0,0,0,same,1
nlp4lp_test_107,1,1,1,same,0
nlp4lp_test_108,1,1,1,same,1
nlp4lp_test_109,1,0,0,same,0
nlp4lp_test_110,1,1,1,same,0
nlp4lp_test_111,1,1,1,same,0
nlp4lp_test_112,1,1,1,same,0
nlp4lp_test_113,1,1,1,same,0
nlp4lp_test_114,1,1,1,same,1
nlp4lp_test_115,1,1,1,same,0
nlp4lp_test_116,1,0,1,gain,1
nlp4lp_test_117,0,0,0,same,0
nlp4lp_test_118,1,0,0,same,0
nlp4lp_test_119,1,1,1,same,0
nlp4lp_test_120,1,1,1,same,0
nlp4lp_test_121,1,1,1,same,0
nlp4lp_test_122,1,1,1,same,0
nlp4lp_test_123,1,1,1,same,0
nlp4lp_test_124,1,1,1,same,1
nlp4lp_test_125,1,1,1,same,0
nlp4lp_test_126,1,1,1,same,0
nlp4lp_test_127,1,1,1,same,0
nlp4lp_test_128,1,0,1,gain,1
nlp4lp_test_129,1,1,1,same,0
nlp4lp_test_130,0,0,0,same,0
nlp4lp_test_131,1,1,1,same,0
nlp4lp_test_132,1,1,1,same,0
nlp4lp_test_133,1,1,1,same,0
nlp4lp_test_134,1,1,1,same,0
nlp4lp_test_135,1,1,1,same,0
nlp4lp_test_136,1,1,1,same,0
nlp4lp_test_137,1,1,1,same,0
nlp4lp_test_138,1,1,1,same,0
nlp4lp_test_139,1,1,1,same,1
nlp4lp_test_140,1,1,1,same,0
nlp4lp_test_141,1,1,1,same,0
nlp4lp_test_142,1,1,1,same,0
nlp4lp_test_143,1,1,1,same,0
nlp4lp_test_144,1,1,1,same,0
nlp4lp_test_145,1,1,1,same,0
nlp4lp_test_146,1,1,1,same,0
nlp4lp_test_147,1,1,1,same,0
nlp4lp_test_148,1,1,1,same,0
nlp4lp_test_149,1,1,1,same,1
nlp4lp_test_150,1,1,1,same,0
nlp4lp_test_151,1,1,1,same,0
nlp4lp_test_152,1,1,1,same,0
nlp4lp_test_153,1,1,1,same,0
nlp4lp_test_154,1,1,1,same,0
nlp4lp_test_155,1,1,1,same,0
nlp4lp_test_156,1,0,1,gain,1
nlp4lp_test_157,1,1,1,same,0
nlp4lp_test_158,1,1,1,same,0
nlp4lp_test_159,1,1,1,same,1
nlp4lp_test_160,1,1,1,same,0
nlp4lp_test_161,0,0,0,same,0
nlp4lp_test_162,1,1,1,same,0
nlp4lp_test_163,1,1,1,same,1
nlp4lp_test_164,1,1,1,same,0
nlp4lp_test_165,1,0,0,same,0
nlp4lp_test_166,1,0,0,same,1
nlp4lp_test_167,1,1,1,same,0
nlp4lp_test_168,1,1,1,same,0
nlp4lp_test_169,1,1,1,same,1
nlp4lp_test_170,1,1,1,same,0
nlp4lp_test_171,1,1,1,same,0
nlp4lp_test_172,1,1,1,same,0
nlp4lp_test_173,1,1,1,same,1
nlp4lp_test_174,1,1,1,same,0
nlp4lp_test_175,1,0,0,same,1
nlp4lp_test_176,1,1,1,same,0
nlp4lp_test_177,1,1,1,same,0
nlp4lp_test_178,1,1,1,same,0
nlp4lp_test_179,1,1,1,same,0
nlp4lp_test_180,1,1,1,same,0
nlp4lp_test_181,1,1,1,same,0
nlp4lp_test_182,1,1,1,same,0
nlp4lp_test_183,1,1,1,same,1
nlp4lp_test_184,1,1,1,same,0
nlp4lp_test_185,1,1,1,same,0
nlp4lp_test_186,1,0,0,same,0
nlp4lp_test_187,1,1,1,same,0
nlp4lp_test_188,0,0,0,same,0
nlp4lp_test_189,1,1,1,same,0
nlp4lp_test_190,1,1,1,same,0
nlp4lp_test_191,1,1,1,same,0
nlp4lp_test_192,1,1,1,same,0
nlp4lp_test_193,1,1,1,same,0
nlp4lp_test_194,0,0,0,same,0
nlp4lp_test_195,1,0,1,gain,1
nlp4lp_test_196,1,1,1,same,0
nlp4lp_test_197,1,1,1,same,0
nlp4lp_test_198,1,1,1,same,0
nlp4lp_test_199,1,1,1,same,0
nlp4lp_test_200,1,1,1,same,0
nlp4lp_test_201,0,0,0,same,0
nlp4lp_test_202,1,1,1,same,0
nlp4lp_test_203,1,0,0,same,0
nlp4lp_test_204,1,0,0,same,0
nlp4lp_test_205,1,1,1,same,0
nlp4lp_test_206,1,1,1,same,0
nlp4lp_test_207,1,1,1,same,0
nlp4lp_test_208,1,1,1,same,0
nlp4lp_test_209,1,1,1,same,0
nlp4lp_test_210,1,1,1,same,0
nlp4lp_test_211,1,1,1,same,0
nlp4lp_test_212,1,1,1,same,0
nlp4lp_test_213,1,1,1,same,0
nlp4lp_test_214,1,1,1,same,0
nlp4lp_test_215,1,0,0,same,0
nlp4lp_test_216,1,1,1,same,0
nlp4lp_test_217,1,1,1,same,0
nlp4lp_test_218,1,1,1,same,0
nlp4lp_test_219,1,1,1,same,0
nlp4lp_test_220,1,1,1,same,1
nlp4lp_test_221,1,1,1,same,0
nlp4lp_test_222,0,0,0,same,0
nlp4lp_test_223,1,0,0,same,1
nlp4lp_test_224,1,1,1,same,0
nlp4lp_test_225,1,1,1,same,0
