method,n,schema_correct_count,schema_R1,ordinary_ready_count,instantiation_ready,strict_ready_count,strict_instantiation_ready,strict_wilson95_low,strict_wilson95_high,false_ready_count,correct_schema_not_ready_count,wrong_schema_not_ready_count,coverage,type_match,exact5_on_schema_hits,exact20_on_schema_hits
oracle_typed_greedy,331,331,1.0,273,0.824773413897281,273,0.824773413897281,0.7801575828698637,0.8619370672572413,0,58,0,0.9317770405650271,0.9076399263710442,0.21106939935064933,0.23497204184704185
tfidf_selective_grounding_rerank,331,303,0.9154078549848943,265,0.8006042296072508,249,0.7522658610271903,0.7030414585183982,0.7957018278593995,16,54,12,0.9035994049589217,0.8757145254879395,0.22123539145723448,0.24648742421779965
tfidf_typed_greedy,331,301,0.9093655589123867,257,0.7764350453172205,247,0.7462235649546828,0.6967012808805388,0.79009605851815,10,54,20,0.8794302206688914,0.8515453411979093,0.21946266791627614,0.24488825416660467
tfidf_acceptance_rerank,331,294,0.8882175226586103,253,0.7643504531722054,244,0.7371601208459214,0.6872128020585685,0.781665616871457,9,50,28,0.860106643943502,0.8316177528413178,0.21972720159339879,0.24444507956831898
bm25_typed_greedy,331,292,0.8821752265861027,253,0.7643504531722054,241,0.7280966767371602,0.677749698824587,0.773209799636775,12,51,27,0.8663385791784582,0.8376480602311418,0.22412162368148283,0.25017389691685465
tfidf_constrained,331,301,0.9093655589123867,248,0.7492447129909365,238,0.7190332326283988,0.6683111758719497,0.764729402120749,10,63,20,0.8355852103586243,0.874331031506258,0.5470580870065407,0.571691510093572
tfidf_max_weight_matching,331,301,0.9093655589123867,246,0.743202416918429,236,0.7129909365558912,0.6620321218281037,0.759062509185486,10,65,20,0.8435696730258664,0.8740385076487797,0.4919610935074853,0.5225183846317867
tfidf_optimization_role_repair,331,301,0.9093655589123867,244,0.7371601208459214,234,0.7069486404833837,0.655763469015211,0.7533852150192699,10,67,20,0.8435696730258664,0.8724020524624755,0.49041061077143555,0.5209679018957369
lsa_typed_greedy,331,280,0.8459214501510574,243,0.7341389728096677,233,0.7039274924471299,0.6526329839160061,0.7505427266289202,10,47,41,0.8331059507796668,0.801125737303985,0.21893083599287977,0.24419600067410285
tfidf_semantic_ir_repair,331,301,0.9093655589123867,237,0.716012084592145,230,0.6948640483383686,0.6432566261555233,0.7420001639207396,7,71,23,0.8131171111533648,0.8483226743045473,0.46377585377585373,0.4949331662489558
tfidf_hierarchical_acceptance_rerank,331,272,0.8217522658610272,238,0.7190332326283988,228,0.6888217522658611,0.6370180918819263,0.7362927512152279,10,44,49,0.8030572985255765,0.7800844003260922,0.2093885624303875,0.23455919872269682
tfidf_hierarchical_structured_grounding,331,301,0.9093655589123867,233,0.7039274924471299,223,0.6737160120845922,0.6214639210907501,0.7219820545586316,10,78,20,0.8255235449344211,0.8806958231429531,0.6374997529107118,0.6492361234655755
tfidf_search_structured_grounding,331,301,0.9093655589123867,233,0.7039274924471299,223,0.6737160120845922,0.6214639210907501,0.7219820545586316,10,78,20,0.8195029039439915,0.8795481792460644,0.6284479552520789,0.6397326232377779
