k,oracle,method,gold_in_k,true_rescued_queries,wrong_schema_ready_false_positives,schema_R1,instantiation_ready,ready_count,projected_instantiation_ready,coverage,type_match,schema_recoveries,schema_regressions,ready_gains,ready_losses
1,oracle_A_gold_schema,oracle_A_gold_schema_k1,301,0,,0.9093655589123867,0.7764350453172205,257,0.7764350453172205,0.8794302206688914,0.8515453411979093,0,0,0,0
1,oracle_B_readiness,oracle_B_readiness_k1,301,,10,0.9093655589123867,0.7764350453172205,257,0.7764350453172205,0.8794302206688914,0.8515453411979093,0,0,0,0
1,oracle_C_gold_ready,oracle_C_gold_ready_k1,301,0,,0.9093655589123867,0.7764350453172205,257,0.7764350453172205,0.8794302206688914,0.8515453411979093,0,0,0,0
2,oracle_A_gold_schema,oracle_A_gold_schema_k2,310,4,,0.9365558912386707,0.7885196374622356,261,0.7885196374622356,0.8915148128139065,0.8636299333429244,9,0,4,0
2,oracle_B_readiness,oracle_B_readiness_k2,310,,22,0.9003021148036254,0.824773413897281,273,0.824773413897281,0.9108789330843712,0.8845262072603461,4,7,16,0
2,oracle_C_gold_ready,oracle_C_gold_ready_k2,310,4,,0.9335347432024169,0.7885196374622356,261,0.7885196374622356,0.8915148128139065,0.8636299333429244,8,0,4,0
3,oracle_A_gold_schema,oracle_A_gold_schema_k3,315,8,,0.9516616314199395,0.8006042296072508,265,0.8006042296072508,0.9035994049589217,0.8757145254879395,14,0,8,0
3,oracle_B_readiness,oracle_B_readiness_k3,315,,24,0.9033232628398792,0.8368580060422961,277,0.8368580060422961,0.920697664202196,0.8935896513691075,6,8,20,0
3,oracle_C_gold_ready,oracle_C_gold_ready_k3,315,8,,0.9486404833836858,0.8006042296072508,265,0.8006042296072508,0.9035994049589217,0.8757145254879395,13,0,8,0
5,oracle_A_gold_schema,oracle_A_gold_schema_k5,319,9,,0.9637462235649547,0.8006042296072508,265,0.8006042296072508,0.9056135036497573,0.8787356735241932,18,0,9,1
5,oracle_B_readiness,oracle_B_readiness_k5,319,,28,0.8972809667673716,0.851963746223565,282,0.851963746223565,0.9302646329836661,0.9011425214597419,7,11,25,0
5,oracle_C_gold_ready,oracle_C_gold_ready_k5,319,9,,0.9577039274924471,0.8036253776435045,266,0.8036253776435045,0.9066205529951754,0.8787356735241932,16,0,9,0
10,oracle_A_gold_schema,oracle_A_gold_schema_k10,325,13,,0.9818731117824774,0.8096676737160121,268,0.8096676737160121,0.9158518386615063,0.8908202656692084,24,0,13,2
10,oracle_B_readiness,oracle_B_readiness_k10,325,,32,0.8851963746223565,0.8640483383685801,286,0.8640483383685801,0.9342470553950916,0.9029048578142235,7,15,29,0
10,oracle_C_gold_ready,oracle_C_gold_ready_k10,325,13,,0.972809667673716,0.8157099697885196,270,0.8157099697885196,0.9183694620250511,0.8908202656692084,21,0,13,0
