method,k,rule,threshold,reranked_queries,schema_R1,instantiation_ready,ready_count,coverage,type_match,schema_recoveries,schema_regressions,ready_gains,ready_losses
all_k2_R0_tfidf_top1,2,R0_tfidf_top1,ALL,331,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
all_k2_R1_max_coverage,2,R1_max_coverage,ALL,331,0.9033232628398792,0.8157099697885196,270,0.9113173164532681,0.8815050592240924,4,6,13,0
all_k2_R2_max_typematch,2,R2_max_typematch,ALL,331,0.8972809667673716,0.8217522658610272,272,0.9088648343935353,0.8857346664748478,4,8,15,0
all_k2_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,ALL,331,0.8882175226586103,0.824773413897281,273,0.9113173164532681,0.8857346664748478,4,11,16,0
all_k2_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,ALL,331,0.8670694864048338,0.824773413897281,273,0.9113173164532681,0.8857346664748478,4,18,16,0
all_k2_R5_small_consistency_score,2,R5_small_consistency_score,ALL,331,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
all_k3_R0_tfidf_top1,3,R0_tfidf_top1,ALL,331,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
all_k3_R1_max_coverage,3,R1_max_coverage,ALL,331,0.9033232628398792,0.8277945619335347,274,0.9215676401477005,0.8905685033328538,6,8,17,0
all_k3_R2_max_typematch,3,R2_max_typematch,ALL,331,0.8942598187311178,0.8308157099697885,275,0.9179282785022966,0.8963422529132498,6,11,18,0
all_k3_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,ALL,331,0.879154078549849,0.8368580060422961,277,0.9215676401477005,0.8963422529132498,6,16,20,0
all_k3_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,ALL,331,0.851963746223565,0.8368580060422961,277,0.9215676401477005,0.8963422529132498,6,25,20,0
all_k3_R5_small_consistency_score,3,R5_small_consistency_score,ALL,331,0.9214501510574018,0.8036253776435045,266,0.9066205529951754,0.8787356735241932,4,0,9,0
all_k5_R0_tfidf_top1,5,R0_tfidf_top1,ALL,331,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
all_k5_R1_max_coverage,5,R1_max_coverage,ALL,331,0.9003021148036254,0.8398791540785498,278,0.9311346089291709,0.8966107994053613,7,10,21,0
all_k5_R2_max_typematch,5,R2_max_typematch,ALL,331,0.8912386706948641,0.8398791540785498,278,0.9239705745748042,0.9044993526111351,7,13,21,0
all_k5_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,ALL,331,0.8700906344410876,0.851963746223565,282,0.9311346089291709,0.9044993526111351,7,20,25,0
all_k5_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,ALL,331,0.8429003021148036,0.851963746223565,282,0.9311346089291709,0.9044993526111351,7,29,25,0
all_k5_R5_small_consistency_score,5,R5_small_consistency_score,ALL,331,0.9274924471299094,0.8157099697885196,270,0.9187051451401905,0.8908202656692084,6,0,13,0
selective_k2_margin0.01_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.01,4,0.9093655589123867,0.7794561933534743,258,0.8824513687051452,0.854566489234163,0,0,1,0
selective_k2_margin0.01_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.01,4,0.9093655589123867,0.7794561933534743,258,0.8824513687051452,0.854566489234163,0,0,1,0
selective_k2_margin0.01_R5_small_consistency_score,2,R5_small_consistency_score,0.01,4,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.02_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.02,13,0.9154078549848943,0.7915407854984894,262,0.8945359608501603,0.8666510813791781,2,0,5,0
selective_k2_margin0.02_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.02,13,0.9154078549848943,0.7915407854984894,262,0.8945359608501603,0.8666510813791781,2,0,5,0
selective_k2_margin0.02_R5_small_consistency_score,2,R5_small_consistency_score,0.02,13,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.03_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.03,17,0.9154078549848943,0.7945619335347432,263,0.897557108886414,0.8696722294154319,2,0,6,0
selective_k2_margin0.03_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.03,17,0.9154078549848943,0.7945619335347432,263,0.897557108886414,0.8696722294154319,2,0,6,0
selective_k2_margin0.03_R5_small_consistency_score,2,R5_small_consistency_score,0.03,17,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.05_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.05,27,0.9123867069486404,0.7945619335347432,263,0.8977630962525223,0.8696722294154319,2,1,6,0
selective_k2_margin0.05_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.05,27,0.9123867069486404,0.7945619335347432,263,0.8977630962525223,0.8696722294154319,2,1,6,0
selective_k2_margin0.05_R5_small_consistency_score,2,R5_small_consistency_score,0.05,27,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.075_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.075,40,0.9154078549848943,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,1,7,0
selective_k2_margin0.075_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.075,40,0.9063444108761329,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,4,7,0
selective_k2_margin0.075_R5_small_consistency_score,2,R5_small_consistency_score,0.075,40,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.1_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.1,58,0.9154078549848943,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,1,7,0
selective_k2_margin0.1_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.1,58,0.9033232628398792,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,5,7,0
selective_k2_margin0.1_R5_small_consistency_score,2,R5_small_consistency_score,0.1,58,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k3_margin0.01_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k3_margin0.01_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k3_margin0.01_R5_small_consistency_score,3,R5_small_consistency_score,0.01,4,0.9093655589123867,0.7794561933534743,258,0.8824513687051452,0.854566489234163,0,0,1,0
selective_k3_margin0.02_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.02,13,0.9123867069486404,0.7915407854984894,262,0.8945359608501603,0.8669867644943173,2,1,5,0
selective_k3_margin0.02_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.02,13,0.9123867069486404,0.7915407854984894,262,0.8945359608501603,0.8669867644943173,2,1,5,0
selective_k3_margin0.02_R5_small_consistency_score,3,R5_small_consistency_score,0.02,13,0.9154078549848943,0.7915407854984894,262,0.8945359608501603,0.8666510813791781,2,0,5,0
selective_k3_margin0.03_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.03,17,0.9123867069486404,0.7945619335347432,263,0.897557108886414,0.8700079125305712,2,1,6,0
selective_k3_margin0.03_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.03,17,0.9123867069486404,0.7945619335347432,263,0.897557108886414,0.8700079125305712,2,1,6,0
